Msg::1::78.7717::void  Msg() {
derive_spatial_luma_vector_prediction::39::655.7600::  availableA[1] = img->available_pred_blk(xC,yC, nCS, xP,yP, nPbW,nPbH,partIdx, xA[1],yA[1]);
derive_spatial_luma_vector_prediction::40::62.7414::  // 5.
derive_spatial_luma_vector_prediction::41::199.4772::  if (availableA[0] || availableA[1]) {
derive_spatial_luma_vector_prediction::42::142.9057::    isScaledFlagLX = 1;
derive_spatial_luma_vector_prediction::43::35.8248::  }
derive_spatial_luma_vector_prediction::44::187.6632::  // 6.  test A0 and A1  (Ak)
derive_spatial_luma_vector_prediction::45::122.8423::  int refIdxA=-1;
derive_spatial_luma_vector_prediction::46::165.8008::  // the POC we want to reference in this PB
derive_spatial_luma_vector_prediction::47::414.5409::  const de265_image* tmpimg = ctx->get_image(shdr->RefPicList[X][ refIdxLX ]);
derive_spatial_luma_vector_prediction::48::170.4601::  if (tmpimg==NULL) { return; }
derive_spatial_luma_vector_prediction::49::44.9284::  const int referenced_POC = tmpimg->PicOrderCntVal;
derive_spatial_luma_vector_prediction::51::151.1843::    if (availableA[k] &&
derive_spatial_luma_vector_prediction::52::377.4350::        out_availableFlagLXN[A]==0 && // no A?-predictor so far
derive_spatial_luma_vector_prediction::53::407.4319::        img->get_pred_mode(xA[k],yA[k]) != MODE_INTRA) {
derive_spatial_luma_vector_prediction::54::142.5447::      int Y=1-X;
derive_spatial_luma_vector_prediction::55::381.2228::      const PBMotion& vi = img->get_mv_info(xA[k],yA[k]);
derive_spatial_luma_vector_prediction::56::260.0481::      logtrace(LogMotion,"MVP A%d=\n",k);
derive_spatial_luma_vector_prediction::57::141.3833::      logmvcand(vi);
derive_spatial_luma_vector_prediction::58::191.9453::      const de265_image* imgX = NULL;
derive_spatial_luma_vector_prediction::59::524.1889::      if (vi.predFlag[X]) imgX = ctx->get_image(shdr->RefPicList[X][ vi.refIdx[X] ]);
derive_spatial_luma_vector_prediction::60::196.6299::      const de265_image* imgY = NULL;
derive_spatial_luma_vector_prediction::61::539.1241::      if (vi.predFlag[Y]) imgY = ctx->get_image(shdr->RefPicList[Y][ vi.refIdx[Y] ]);
derive_spatial_luma_vector_prediction::62::234.8116::      // check whether the predictor X is available and references the same POC
derive_spatial_luma_vector_prediction::63::399.5859::      if (vi.predFlag[X] && imgX && imgX->PicOrderCntVal == referenced_POC) {
derive_spatial_luma_vector_prediction::64::420.3488::        logtrace(LogMotion,"take A%d/L%d as A candidate with same POC\n",k,X);
derive_spatial_luma_vector_prediction::65::219.7479::        out_availableFlagLXN[A]=1;
derive_spatial_luma_vector_prediction::66::288.7475::        out_mvLXN[A] = vi.mv[X];
derive_spatial_luma_vector_prediction::67::234.2914::        refIdxA = vi.refIdx[X];
derive_spatial_luma_vector_prediction::68::64.9098::      }
derive_spatial_luma_vector_prediction::69::285.0236::      // check whether the other predictor (Y) is available and references the same POC
derive_spatial_luma_vector_prediction::70::423.2102::      else if (vi.predFlag[Y] && imgY && imgY->PicOrderCntVal == referenced_POC) {
derive_spatial_luma_vector_prediction::71::458.6632::        logtrace(LogMotion,"take A%d/L%d as A candidate with same POC\n",k,Y);
derive_spatial_luma_vector_prediction::72::226.0326::        out_availableFlagLXN[A]=1;
derive_spatial_luma_vector_prediction::73::290.3179::        out_mvLXN[A] = vi.mv[Y];
derive_spatial_luma_vector_prediction::74::228.4218::        refIdxA = vi.refIdx[Y];
derive_spatial_luma_vector_prediction::75::62.9539::      }
derive_spatial_luma_vector_prediction::76::47.7499::    }
derive_spatial_luma_vector_prediction::77::36.2193::  }
derive_spatial_luma_vector_prediction::78::301.8848::  // 7. If there is no predictor referencing the same POC, we take any other reference as
derive_spatial_luma_vector_prediction::79::289.9316::  //    long as it is the same type of reference (long-term / short-term)
derive_spatial_luma_vector_prediction::80::364.8517::  for (int k=0 ; k<=1 && out_availableFlagLXN[A]==0 ; k++) {
derive_spatial_luma_vector_prediction::81::128.0671::    int refPicList=-1;
derive_spatial_luma_vector_prediction::82::136.2762::    if (availableA[k] &&
derive_spatial_luma_vector_prediction::83::318.8507::        // TODO: we could remove this call by storing the result of the similar computation above
derive_spatial_luma_vector_prediction::84::399.5252::        img->get_pred_mode(xA[k],yA[k]) != MODE_INTRA) {
derive_spatial_luma_vector_prediction::85::141.6382::      int Y=1-X;
derive_spatial_luma_vector_prediction::86::381.9064::      const PBMotion& vi = img->get_mv_info(xA[k],yA[k]);
derive_spatial_luma_vector_prediction::87::210.3310::      if (vi.predFlag[X]==1 &&
derive_spatial_luma_vector_prediction::88::556.2764::          shdr->LongTermRefPic[X][refIdxLX] == shdr->LongTermRefPic[X][ vi.refIdx[X] ]) {
derive_spatial_luma_vector_prediction::89::446.8063::        logtrace(LogMotion,"take A%D/L%d as A candidate with different POCs\n",k,X);
derive_spatial_luma_vector_prediction::90::231.6211::        out_availableFlagLXN[A]=1;
derive_spatial_luma_vector_prediction::91::297.6886::        out_mvLXN[A] = vi.mv[X];
derive_spatial_luma_vector_prediction::92::245.1558::        refIdxA = vi.refIdx[X];
derive_spatial_luma_vector_prediction::93::154.9092::        refPicList = X;
derive_spatial_luma_vector_prediction::94::33.4300::      }
derive_spatial_luma_vector_prediction::96::655.3190::               shdr->LongTermRefPic[X][refIdxLX] == shdr->LongTermRefPic[Y][ vi.refIdx[Y] ]) {
derive_spatial_luma_vector_prediction::97::457.5874::        logtrace(LogMotion,"take A%d/L%d as A candidate with different POCs\n",k,Y);
derive_spatial_luma_vector_prediction::98::221.5365::        out_availableFlagLXN[A]=1;
derive_spatial_luma_vector_prediction::99::296.0308::        out_mvLXN[A] = vi.mv[Y];
derive_spatial_luma_vector_prediction::100::236.2637::        refIdxA = vi.refIdx[Y];
derive_spatial_luma_vector_prediction::101::146.7216::        refPicList = Y;
derive_spatial_luma_vector_prediction::102::64.7599::      }
derive_spatial_luma_vector_prediction::103::53.9657::    }
derive_spatial_luma_vector_prediction::104::233.7932::    if (out_availableFlagLXN[A]==1) {
derive_spatial_luma_vector_prediction::105::177.0657::      if (refIdxA<0) {
derive_spatial_luma_vector_prediction::106::357.4395::        out_availableFlagLXN[0] = out_availableFlagLXN[1] = false;
derive_spatial_luma_vector_prediction::107::129.5664::        return; // error
derive_spatial_luma_vector_prediction::108::66.2000::      }
derive_spatial_luma_vector_prediction::109::183.7471::      assert(refIdxA>=0);
derive_spatial_luma_vector_prediction::110::177.7560::      assert(refPicList>=0);
derive_spatial_luma_vector_prediction::111::491.3536::      const de265_image* refPicA = ctx->get_image(shdr->RefPicList[refPicList][refIdxA ]);
derive_spatial_luma_vector_prediction::112::546.7984::      const de265_image* refPicX = ctx->get_image(shdr->RefPicList[X         ][refIdxLX]);
derive_spatial_luma_vector_prediction::113::389.2231::      //int picStateA = shdr->RefPicList_PicState[refPicList][refIdxA ];
derive_spatial_luma_vector_prediction::114::440.0976::      //int picStateX = shdr->RefPicList_PicState[X         ][refIdxLX];
derive_spatial_luma_vector_prediction::115::367.5873::      int isLongTermA = shdr->LongTermRefPic[refPicList][refIdxA ];
derive_spatial_luma_vector_prediction::116::291.0103::      int isLongTermX = shdr->LongTermRefPic[X         ][refIdxLX];
derive_spatial_luma_vector_prediction::117::445.6613::      logtrace(LogMotion,"scale MVP A: A-POC:%d X-POC:%d\n",
derive_spatial_luma_vector_prediction::118::393.4401::               refPicA->PicOrderCntVal,refPicX->PicOrderCntVal);
derive_spatial_luma_vector_prediction::119::228.9388::      if (!isLongTermA && !isLongTermX)
derive_spatial_luma_vector_prediction::120::75.9930::      /*
derive_spatial_luma_vector_prediction::121::213.8279::      if (picStateA == UsedForShortTermReference &&
derive_spatial_luma_vector_prediction::122::220.4923::          picStateX == UsedForShortTermReference)
derive_spatial_luma_vector_prediction::123::69.7650::      */
derive_spatial_luma_vector_prediction::124::79.2694::        {
derive_spatial_luma_vector_prediction::125::361.6357::          int distA = img->PicOrderCntVal - refPicA->PicOrderCntVal;
derive_spatial_luma_vector_prediction::126::302.6607::          int distX = img->PicOrderCntVal - referenced_POC;
derive_spatial_luma_vector_prediction::127::510.5249::          if (!scale_mv(&out_mvLXN[A], out_mvLXN[A], distA, distX)) {
derive_spatial_luma_vector_prediction::128::481.5593::            ctx->add_warning(DE265_WARNING_INCORRECT_MOTION_VECTOR_SCALING, false);
derive_spatial_luma_vector_prediction::129::323.1897::            img->integrity = INTEGRITY_DECODING_ERRORS;
derive_spatial_luma_vector_prediction::130::92.3894::          }
derive_spatial_luma_vector_prediction::131::76.7261::        }
derive_spatial_luma_vector_prediction::132::48.9404::    }
derive_spatial_luma_vector_prediction::133::35.0834::  }
derive_spatial_luma_vector_prediction::134::77.2022::  // --- B ---
derive_spatial_luma_vector_prediction::135::68.7442::  // 1.
derive_spatial_luma_vector_prediction::136::173.7636::  int xB[3], yB[3];
derive_spatial_luma_vector_prediction::137::195.0061::  xB[0] = xP+nPbW;
derive_spatial_luma_vector_prediction::138::166.3580::  yB[0] = yP-1;
derive_spatial_luma_vector_prediction::139::192.5570::  xB[1] = xB[0]-1;
derive_spatial_luma_vector_prediction::140::168.0833::  yB[1] = yP-1;
derive_spatial_luma_vector_prediction::141::166.3864::  xB[2] = xP-1;
derive_spatial_luma_vector_prediction::142::165.2324::  yB[2] = yP-1;
derive_spatial_luma_vector_prediction::143::69.1027::  // 2.
derive_spatial_luma_vector_prediction::144::187.7793::  out_availableFlagLXN[B] = 0;
derive_spatial_luma_vector_prediction::145::201.7265::  out_mvLXN[B].x = 0;
derive_spatial_luma_vector_prediction::146::201.5637::  out_mvLXN[B].y = 0;
derive_spatial_luma_vector_prediction::147::6.1714::  // 3. test B0,B1,B2 (Bk)
derive_spatial_luma_vector_prediction::149::112.2920::  bool availableB[3];
derive_spatial_luma_vector_prediction::150::223.0104::  for (int k=0;k<3;k++) {
derive_spatial_luma_vector_prediction::151::713.1144::    availableB[k] = img->available_pred_blk(xC,yC, nCS, xP,yP, nPbW,nPbH,partIdx, xB[k],yB[k]);
derive_spatial_luma_vector_prediction::152::294.9926::    if (availableB[k] && out_availableFlagLXN[B]==0) {
derive_spatial_luma_vector_prediction::153::139.9250::      int Y=1-X;
derive_spatial_luma_vector_prediction::154::376.8656::      const PBMotion& vi = img->get_mv_info(xB[k],yB[k]);
derive_spatial_luma_vector_prediction::155::255.0467::      logtrace(LogMotion,"MVP B%d=\n",k);
derive_spatial_luma_vector_prediction::156::145.4369::      logmvcand(vi);
derive_spatial_luma_vector_prediction::157::191.1090::      const de265_image* imgX = NULL;
derive_spatial_luma_vector_prediction::158::527.7561::      if (vi.predFlag[X]) imgX = ctx->get_image(shdr->RefPicList[X][ vi.refIdx[X] ]);
derive_spatial_luma_vector_prediction::159::194.9249::      const de265_image* imgY = NULL;
derive_spatial_luma_vector_prediction::160::531.0328::      if (vi.predFlag[Y]) imgY = ctx->get_image(shdr->RefPicList[Y][ vi.refIdx[Y] ]);
derive_spatial_luma_vector_prediction::161::400.5255::      if (vi.predFlag[X] && imgX && imgX->PicOrderCntVal == referenced_POC) {
derive_spatial_luma_vector_prediction::162::444.2259::        logtrace(LogMotion,"a) take B%d/L%d as B candidate with same POC\n",k,X);
derive_spatial_luma_vector_prediction::163::215.9078::        out_availableFlagLXN[B]=1;
derive_spatial_luma_vector_prediction::164::290.8272::        out_mvLXN[B] = vi.mv[X];
derive_spatial_luma_vector_prediction::165::235.7608::        refIdxB = vi.refIdx[X];
derive_spatial_luma_vector_prediction::166::65.2578::      }
derive_spatial_luma_vector_prediction::167::438.9611::      else if (vi.predFlag[Y] && imgY && imgY->PicOrderCntVal == referenced_POC) {
derive_spatial_luma_vector_prediction::168::191.7245::        logtrace(LogMotion,"b) take B%d/L%d as B candidate with same POC\n",k,Y);
derive_spatial_luma_vector_prediction::169::238.9262::        out_availableFlagLXN[B]=1;
derive_spatial_luma_vector_prediction::170::304.3784::        out_mvLXN[B] = vi.mv[Y];
derive_spatial_luma_vector_prediction::171::237.0869::        refIdxB = vi.refIdx[Y];
derive_spatial_luma_vector_prediction::172::64.1824::      }
derive_spatial_luma_vector_prediction::173::49.5846::    }
derive_spatial_luma_vector_prediction::174::36.1761::  }
derive_spatial_luma_vector_prediction::175::70.1425::  // 4.
derive_spatial_luma_vector_prediction::176::270.6449::  if (isScaledFlagLX==0 &&      // no A predictor,
derive_spatial_luma_vector_prediction::177::280.2277::      out_availableFlagLXN[B])  // but an unscaled B predictor
derive_spatial_luma_vector_prediction::178::49.4289::    {
derive_spatial_luma_vector_prediction::179::174.5943::      // use unscaled B predictor as A predictor
derive_spatial_luma_vector_prediction::180::319.5601::      logtrace(LogMotion,"copy the same-POC B candidate as additional A candidate\n");
derive_spatial_luma_vector_prediction::181::201.9365::      out_availableFlagLXN[A]=1;
derive_spatial_luma_vector_prediction::182::290.1046::      out_mvLXN[A] = out_mvLXN[B];
derive_spatial_luma_vector_prediction::183::169.0408::      refIdxA = refIdxB;
derive_spatial_luma_vector_prediction::184::48.8800::    }
derive_spatial_luma_vector_prediction::185::66.4957::  // 5.
derive_spatial_luma_vector_prediction::186::284.7872::  // If no A predictor, we output the unscaled B as the A predictor (above)
derive_spatial_luma_vector_prediction::187::162.5421::  // and also add a scaled B predictor here.
derive_spatial_luma_vector_prediction::188::308.5720::  // If there is (probably) an A predictor, no differing-POC B predictor is generated.
derive_spatial_luma_vector_prediction::189::168.0505::  if (isScaledFlagLX==0) {
derive_spatial_luma_vector_prediction::190::182.9907::    out_availableFlagLXN[B]=0;
derive_spatial_luma_vector_prediction::191::384.1252::    for (int k=0 ; k<=2 && out_availableFlagLXN[B]==0 ; k++) {
derive_spatial_luma_vector_prediction::192::147.5238::      int refPicList=-1;
derive_spatial_luma_vector_prediction::193::160.9897::      if (availableB[k]) {
derive_spatial_luma_vector_prediction::194::161.2850::        int Y=1-X;
derive_spatial_luma_vector_prediction::195::416.3957::        const PBMotion& vi = img->get_mv_info(xB[k],yB[k]);
derive_spatial_luma_vector_prediction::196::231.5140::        if (vi.predFlag[X]==1 &&
derive_spatial_luma_vector_prediction::197::509.9434::            shdr->LongTermRefPic[X][refIdxLX] == shdr->LongTermRefPic[X][ vi.refIdx[X] ]) {
derive_spatial_luma_vector_prediction::199::350.5247::          out_mvLXN[B] = vi.mv[X];
derive_spatial_luma_vector_prediction::200::278.2262::          refIdxB = vi.refIdx[X];
derive_spatial_luma_vector_prediction::201::180.2832::          refPicList = X;
derive_spatial_luma_vector_prediction::202::84.7644::        }
derive_spatial_luma_vector_prediction::203::267.2037::        else if (vi.predFlag[Y]==1 &&
derive_spatial_luma_vector_prediction::204::639.2736::                 shdr->LongTermRefPic[X][refIdxLX] == shdr->LongTermRefPic[Y][ vi.refIdx[Y] ]) {
derive_spatial_luma_vector_prediction::205::238.0892::          out_availableFlagLXN[B]=1;
derive_spatial_luma_vector_prediction::206::320.1728::          out_mvLXN[B] = vi.mv[Y];
derive_spatial_luma_vector_prediction::207::261.3892::          refIdxB = vi.refIdx[Y];
derive_spatial_luma_vector_prediction::208::170.6381::          refPicList = Y;
derive_spatial_luma_vector_prediction::209::83.1768::        }
derive_spatial_luma_vector_prediction::210::69.7717::      }
derive_spatial_luma_vector_prediction::211::259.3270::      if (out_availableFlagLXN[B]==1) {
derive_spatial_luma_vector_prediction::212::195.3437::        if (refIdxB<0) {
derive_spatial_luma_vector_prediction::213::384.1280::          out_availableFlagLXN[0] = out_availableFlagLXN[1] = false;
derive_spatial_luma_vector_prediction::214::151.5025::          return; // error
derive_spatial_luma_vector_prediction::215::82.3149::        }
derive_spatial_luma_vector_prediction::216::202.8691::        assert(refPicList>=0);
derive_spatial_luma_vector_prediction::217::209.8304::        assert(refIdxB>=0);
derive_spatial_luma_vector_prediction::218::543.4222::        const de265_image* refPicB=ctx->get_image(shdr->RefPicList[refPicList][refIdxB ]);
derive_spatial_luma_vector_prediction::219::582.1950::        const de265_image* refPicX=ctx->get_image(shdr->RefPicList[X         ][refIdxLX]);
derive_spatial_luma_vector_prediction::220::381.2166::        int isLongTermB = shdr->LongTermRefPic[refPicList][refIdxB ];
derive_spatial_luma_vector_prediction::221::445.4065::        int isLongTermX = shdr->LongTermRefPic[X         ][refIdxLX];
derive_spatial_luma_vector_prediction::222::292.4482::        if (refPicB==NULL || refPicX==NULL) {
derive_spatial_luma_vector_prediction::223::567.4090::          img->decctx->add_warning(DE265_WARNING_NONEXISTING_REFERENCE_PICTURE_ACCESSED,false);
derive_spatial_luma_vector_prediction::224::326.5182::          img->integrity = INTEGRITY_DECODING_ERRORS;
derive_spatial_luma_vector_prediction::225::81.5453::        }
derive_spatial_luma_vector_prediction::226::370.4783::        else if (refPicB->PicOrderCntVal != refPicX->PicOrderCntVal &&
derive_spatial_luma_vector_prediction::227::302.8633::                 !isLongTermB && !isLongTermX) {
derive_spatial_luma_vector_prediction::228::379.0723::          int distB = img->PicOrderCntVal - refPicB->PicOrderCntVal;
derive_spatial_luma_vector_prediction::229::314.7558::          int distX = img->PicOrderCntVal - referenced_POC;
derive_spatial_luma_vector_prediction::230::702.1458::          logtrace(LogMotion,"scale MVP B: B-POC:%d X-POC:%d\n",refPicB->PicOrderCntVal,refPicX->PicOrderCntVal);
derive_spatial_luma_vector_prediction::231::516.0815::          if (!scale_mv(&out_mvLXN[B], out_mvLXN[B], distB, distX)) {
derive_spatial_luma_vector_prediction::232::517.6472::            ctx->add_warning(DE265_WARNING_INCORRECT_MOTION_VECTOR_SCALING, false);
derive_spatial_luma_vector_prediction::233::348.0003::            img->integrity = INTEGRITY_DECODING_ERRORS;
derive_spatial_luma_vector_prediction::234::96.3086::          }
derive_spatial_luma_vector_prediction::235::83.4655::        }
derive_spatial_luma_vector_prediction::236::64.5015::      }
derive_spatial_luma_vector_prediction::237::48.9433::    }
derive_spatial_luma_vector_prediction::238::34.1502::  }
derive_spatial_luma_vector_prediction::239::12.3791::}
compute_candidates::1::119.4581::void compute_candidates(
compute_candidates::2::200.0567::    poi_t *p_poi_list,
compute_candidates::3::195.0449::    addrtree_node_t *p_candidates
compute_candidates::4::33.6997::)
compute_candidates::5::33.3258::{
compute_candidates::6::146.1955::    poi_t *poi;
compute_candidates::7::96.0046::    unsigned int cursor;
compute_candidates::8::127.1122::    uint64_t delta;
compute_candidates::9::124.5462::    uint64_t v;
compute_candidates::10::152.9931::    uint64_t freespace;
compute_candidates::11::81.8564::    int count;
compute_candidates::12::234.8857::    uint64_t max_address = 0xFFFFFFFFFFFFFFFF;
compute_candidates::13::132.8998::    int i,j,z;
compute_candidates::14::150.3068::    int nb_candidates = 0;
compute_candidates::15::103.7818::    unsigned int memsize;
compute_candidates::16::169.0826::    score_entry_t *p_scores;
compute_candidates::17::188.9108::    pthread_t *p_threads = NULL;
compute_candidates::18::222.4589::    parallel_params_t *p_threads_params = NULL;
compute_candidates::19::151.3436::    int b_has_str = 0;
compute_candidates::20::218.8510::    poi = p_poi_list->p_next;
compute_candidates::21::138.6755::    while (poi != NULL)
compute_candidates::22::52.5571::    {
compute_candidates::23::341.6998::        if ((poi->type == POI_STRING) && !b_has_str)
compute_candidates::24::80.6899::        {
compute_candidates::25::195.4537::            b_has_str = 1;
compute_candidates::26::80.5620::        }
compute_candidates::27::206.6353::        poi = poi->p_next;
compute_candidates::28::147.1554::        nb_candidates++;
compute_candidates::29::52.0868::    }
compute_candidates::30::95.0959::    i = 0;
compute_candidates::31::221.8153::    poi = p_poi_list->p_next;
compute_candidates::32::144.7396::    if (poi != NULL)
compute_candidates::33::52.3962::    {
compute_candidates::34::186.1575::        while ((poi != NULL))
compute_candidates::35::81.7370::        {
compute_candidates::36::348.2424::            progress_bar(i, nb_candidates, "Analyzing ...");
compute_candidates::37::559.0325::            for (cursor=0; cursor<g_content_size; cursor+=((g_target_arch==ARCH_32)?4:8))
compute_candidates::38::111.1291::            {
compute_candidates::39::13.5143::                v = read_pointer(g_target_arch, g_target_endian, gp_content, cursor);
compute_candidates::40::371.1565::                /* Candidate pointer must not be made of ASCII. */
compute_candidates::41::430.2658::                /* Add heuristic because pointer should be aligned on 4bytes/8bytes 
compute_candidates::42::448.9453::                 * if v % get_arch_pointer_size(arch) != 0 --> not aligned 
compute_candidates::43::176.3629::                 * */
compute_candidates::44::560.2426::                if ((v & g_mem_alignment_mask) == (poi->offset & g_mem_alignment_mask) && 
compute_candidates::45::442.5702::                    !is_ascii_ptr(v, g_target_arch) && 
compute_candidates::46::375.1840::                    is_ptr_aligned(v,g_target_arch))
compute_candidates::47::149.6078::                {
compute_candidates::48::461.3321::                    /* If PoI is a string, we expect a pointer on its first character. */
compute_candidates::49::890.0576::                    if ( ((b_has_str == 1) && (poi->type == POI_STRING)) || ((b_has_str == 0) && (poi->type == POI_FUNCTION)) )
compute_candidates::50::797.3053::                    //if ( ((b_has_str == 1) && (poi->type == POI_STRING)) || (poi->type == POI_FUNCTION) )
compute_candidates::51::187.1931::                    {
compute_candidates::52::359.8845::                        if (v>=poi->offset)
compute_candidates::53::191.8701::                        {
compute_candidates::54::450.6942::                            delta = (v - poi->offset);
compute_candidates::55::884.1370::                            freespace = ( ((g_target_arch==ARCH_32)?0xffffffff:0xffffffffffffffff) - delta) + 1;
compute_candidates::56::438.3932::                            if (freespace >= g_content_size)
compute_candidates::57::255.4247::                            {
compute_candidates::58::399.9975::                                /* register candidate. */
compute_candidates::59::668.0603::                                addrtree_register_address(p_candidates, (uint64_t)delta);
compute_candidates::60::251.7533::                            }
compute_candidates::61::222.6444::                        }
compute_candidates::62::192.8848::                    }
compute_candidates::63::160.5118::                }
compute_candidates::64::124.9345::            }
compute_candidates::65::342.9607::            /* Does the memory used exceed our limited space ? */
compute_candidates::66::431.2785::            memsize = addrtree_get_memsize(p_candidates);
compute_candidates::67::334.9340::            if (memsize>MAX_MEM_AMOUNT)
compute_candidates::68::129.9461::            {
compute_candidates::69::425.0841::                memsize = addrtree_get_memsize(p_candidates);
compute_candidates::70::517.7932::                info("[mem] Memory tree is too big (%d bytes), reducing...\r\n", memsize);
compute_candidates::71::386.0165::                max_votes = addrtree_max_vote(p_candidates);
compute_candidates::72::404.3957::                addrtree_filter(p_candidates, max_votes/2);   
compute_candidates::73::383.7360::                memsize = addrtree_get_memsize(p_candidates);
compute_candidates::74::407.1469::                info("[mem] Memory tree reduced to %d bytes\r\n", memsize);
compute_candidates::75::115.7695::            }
compute_candidates::76::244.5346::            poi = poi->p_next;
compute_candidates::77::135.5474::            i++;
compute_candidates::78::84.0727::        }
compute_candidates::79::159.9019::        progress_bar_done();
compute_candidates::80::247.8679::        /* Loop on candidates, keep the best one. */
compute_candidates::81::186.4807::        g_bm_votes = -1;
compute_candidates::82::196.7611::        g_bm_total_votes = 0;
compute_candidates::83::172.1345::        g_bm_count=0;
compute_candidates::84::354.1133::        addrtree_browse(p_candidates, find_best_match, 0);
compute_candidates::85::373.8572::        logm("[i] Found %d base addresses to test\n", g_bm_count);
compute_candidates::86::98.2313::        /*
compute_candidates::87::255.6565::         * Best match address corresponds to the address for which we identified
compute_candidates::88::299.2051::         * the biggest numbers of alleged pointers. The best match is not always
compute_candidates::89::329.3143::         * the correct base address, so we just display it here and try to assess
compute_candidates::90::254.9821::         * other candidates in case we missed the correct base address.
compute_candidates::91::97.8910::         */
compute_candidates::92::267.6683::        gp_ba_candidates = (base_address_candidate *)malloc(sizeof(base_address_candidate) * g_bm_count);
compute_candidates::93::257.9983::        if (gp_ba_candidates != NULL)
compute_candidates::94::90.8645::        {
compute_candidates::95::359.3020::            max_votes = addrtree_max_vote(p_candidates);
compute_candidates::96::217.5377::            g_bm_kept = 0;
compute_candidates::97::257.0464::            gp_ba_candidates_index = 0;
compute_candidates::98::401.4147::            addrtree_browse(p_candidates, fill_best_matches, 0);
compute_candidates::99::221.5223::            info("tree browsed\n");
compute_candidates::100::266.8933::            if (g_target_arch == ARCH_64)
compute_candidates::101::556.3418::                info("Best match for base address is %016lx (%d votes)\n", g_bm_address, g_bm_votes);
compute_candidates::102::116.3980::            else
compute_candidates::103::534.6783::                info("Best match for base address is %08x (%d votes)\n", g_bm_address, g_bm_votes);
compute_candidates::104::195.1041::            /* Sort candidates array. */
